OBJECTID,FULLADDRESS,BuildingName,Square,Lot,Date,MapYear,Permit_Notes,NOTES,Suffix,EDITTYPE,House_Key,House_Type,Extant,Updated,Facade,Flag,Contributing,ArchitectGroup,Developer,Quantity,Rooms,Width,Depth,Number_of_Families,Store,Stories,Permits_Last_Editor,Permits_Last_Edit_Date,RazedFlag,PermitsSource,PermitNumber,Owner,Architect,Builder,Material,Purpose,EstimatedCost,MicrofilmRoll,PermitType,SolidFilled,FoundationMaterial,StoneType,RoofType,FrontMaterial,RoofMaterial,Heat,Shape__Area,Shape__Length
609,5420 MACARTHUR BOULEVARD NW,,1444,47,9/17/1915 12:00:00 AM,1915,,,,,26591.0,Detached,1.0,1.0,building,0.0,,"Santmyers, George T.","Dorsett, Samuel T.",1.0,0.0,22.0,30.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,1300,"Dorsett, Samuel T.","Santmyers, George T.","Haleton, M. E.",frame,dwelling,2500.0,136,,solid,brick,,,tile,tin,hot water,228.26171875,65.9397097218277
664,4721 FULTON STREET NW,,1408,813,11/6/1939 12:00:00 AM,1939,,,,,111673.0,Detached,1.0,1.0,building,0.0,,"MacNeil, G. E.",Miller (W. C. & A. N.) Development Co.,1.0,7.0,53.0,26.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,227800,Miller (W. C. & A. N.) Development Co.,"MacNeil, G. E.",Miller (W. C. & A. N.) Development Co.,brick & stone,dwelling,10000.0,621,,,hollow tile,,pitch,,slate,air conditioning,250.12890625,73.5947400666256
774,4518 KLINGLE STREET NW,,1609,68,8/7/1925 12:00:00 AM,1925,,,,,7186.0,Detached,1.0,1.0,building,0.0,,"Miller, W. C. & A. N.","Miller, W. C. & A. N.",1.0,0.0,36.0,26.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,1263,"Miller, W. C. & A. N.","Miller, W. C. & A. N.","Miller, W. C. & A. N.",frame,dwelling,9000.0,291,,solid,brick,,pitch,stucco,shingles,hot water,261.375,75.5567626890222
814,5104 KLINGLE STREET NW,,1437,849,7/12/1940 12:00:00 AM,1940,,,,,115336.0,Detached,1.0,1.0,building,0.0,,"Cross, John K.",Better Built Homes Inc.,1.0,7.0,45.0,30.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,234497,Better Built Homes Inc.,"Cross, John K.",Better Built Homes Inc.,brick veneer,dwelling,7000.0,632,,,cinder block,,pitch,,slate,furnace,176.4765625,59.0511237166522
967,4405 KLINGLE STREET NW,,1607,51,3/19/1923 12:00:00 AM,1923,"4 are 2-story, 3 are 1-story, footprints vary",,,,15022.0,Detached,1.0,1.0,building,0.0,,"Miller, W. C. & A. N.","Miller, W. C. & A. N.",7.0,0.0,0.0,0.0,1.0,0.0,,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,7981,"Miller, W. C. & A. N.","Miller, W. C. & A. N.","Miller, W. C. & A. N.",frame,dwelling,40000.0,237,,solid,concrete,,pitch,frame,,hot water,315.96875,87.358133227495
968,4413 KLINGLE STREET NW,,1607,62,3/19/1923 12:00:00 AM,1923,"4 are 2-story, 3 are 1-story, footprints vary",,,,15026.0,Detached,1.0,1.0,building,0.0,,"Miller, W. C. & A. N.","Miller, W. C. & A. N.",7.0,0.0,0.0,0.0,1.0,0.0,,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,7981,"Miller, W. C. & A. N.","Miller, W. C. & A. N.","Miller, W. C. & A. N.",frame,dwelling,40000.0,237,,solid,concrete,,pitch,frame,,hot water,339.1796875,84.9023573113174
969,4403 KLINGLE STREET NW,,1607,50,3/19/1923 12:00:00 AM,1923,"4 are 2-story, 3 are 1-story, footprints vary",,,,15021.0,Detached,1.0,1.0,building,0.0,,"Miller, W. C. & A. N.","Miller, W. C. & A. N.",7.0,0.0,0.0,0.0,1.0,0.0,,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,7981,"Miller, W. C. & A. N.","Miller, W. C. & A. N.","Miller, W. C. & A. N.",frame,dwelling,40000.0,237,,solid,concrete,,pitch,frame,,hot water,196.4609375,57.5933459370836
970,4407 KLINGLE STREET NW,,1607,60,3/19/1923 12:00:00 AM,1923,"4 are 2-story, 3 are 1-story, footprints vary",,,,15023.0,Detached,1.0,1.0,building,0.0,,"Miller, W. C. & A. N.","Miller, W. C. & A. N.",7.0,0.0,0.0,0.0,1.0,0.0,,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,7981,"Miller, W. C. & A. N.","Miller, W. C. & A. N.","Miller, W. C. & A. N.",frame,dwelling,40000.0,237,,solid,concrete,,pitch,frame,,hot water,464.6796875,105.273750292749
1074,5456 NEBRASKA AVENUE NW,,2024,12,3/31/1931 12:00:00 AM,1931,,,,,65490.0,Detached,1.0,1.0,building,0.0,,"Santmyers, George T.","Moore, William L.",1.0,8.0,26.0,38.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,141156,"Moore, William L.","Santmyers, George T.","Johnson, F. M.",brick,dwelling,9000.0,442,,,brick,,pitch,,tin & slate,hot water,204.26171875,60.7879953538344
1140,5817 MACARTHUR BOULEVARD NW,,1448,826,4/3/1941 12:00:00 AM,1941,,,,,118077.0,Semi-Det,1.0,1.0,building,0.0,,"Johannes, Dana B., Jr.","Davis, H. E.",2.0,6.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,242076,"Davis, H. E.","Johannes, Dana B., Jr.","Davis, H. E.",cinder block & brick,dwelling,16000.0,644,,,cinder block & brick,,pitch,,slate,air conditioning,172.39453125,61.8690545989349
1141,5813 MACARTHUR BOULEVARD NW,,1448,17,4/3/1941 12:00:00 AM,1941,,,,,118076.0,Semi-Det,1.0,1.0,building,0.0,,"Johannes, Dana B., Jr.","Davis, H. E.",2.0,6.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,242076,"Davis, H. E.","Johannes, Dana B., Jr.","Davis, H. E.",cinder block & brick,dwelling,16000.0,644,,,cinder block & brick,,pitch,,slate,air conditioning,216.00390625,63.5642069553571
1150,3202 KLINGLE ROAD NW,,2101,7,6/7/1928 12:00:00 AM,1928,,,,,33021.0,Detached,1.0,1.0,building,0.0,,"Pierson, A. B.","McKay, Clara C.",1.0,11.0,32.0,29.0,1.0,0.0,3.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,9218,"McKay, Clara C.","Pierson, A. B.","Rice, Orville L.",brick & tile,dwelling,14000.0,379,,solid,concrete,,pitch,,slate,hot water,281.25390625,71.2329667635386
1178,5025 GARFIELD STREET NW,,1426,35,10/2/1952 12:00:00 AM,1952,,,,,139863.0,Detached,1.0,1.0,building,0.0,,,"Nathan, R. W.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,BKRAFT,2/29/2016 3:02:07 PM,0.0,DC Historical Building Permits Index,A-36393,"Nathan, R. W.",, ,,dwelling,0.0,,,,,,,,,,259.75390625,66.1009060514166
1441,5319 MANNING PLACE NW,,1453,880,4/14/1919 12:00:00 AM,1919,,,,,23030.0,Detached,1.0,1.0,building,0.0,,"Stetzer, C.","Austain, C. T.",1.0,0.0,28.0,28.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,3128,"Austain, C. T.","Stetzer, C.","Austain, C. T.",cement & wood,dwelling,4000.0,172,,solid,brick,,pitch,pebbledash,asphalt,pipe furnace,206.0234375,59.6598178634901
1459,4965 GLENBROOK ROAD NW,,1511,35,7/9/1941 12:00:00 AM,1941,,,,,119293.0,Detached,1.0,1.0,building,0.0,,"MacNeil, G. E.",Miller (W. C. & A. N.) Development Co.,1.0,12.0,27.0,31.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,245425,Miller (W. C. & A. N.) Development Co.,"MacNeil, G. E.",Miller (W. C. & A. N.) Development Co.,brick,dwelling,18000.0,649,,,hollow tile,,pitch,,slate,air conditioning,404.875,93.6701586745161
1575,5022 ESKRIDGE TERRACE NW,,1411,17,12/5/1940 12:00:00 AM,1940,,,,,,,,,,,,"Santmyers, George T.","Steinbraker, Irene M.",1.0,6.0,37.0,29.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,239086,"Steinbraker, Irene M.","Santmyers, George T.","Steinbraker, Harry",cinder block & brick,dwelling,3000.0,639,,,cinder block & brick,,pitch,,asbestos shingles,hot water,331.96875,80.2973218127347
1581,6100 NEBRASKA AVENUE NW,,2340,70,3/17/1948 12:00:00 AM,1948,,,,,128917.0,Detached,1.0,1.0,building,0.0,,"Santmyers, George T.","Henderson, J. L.",1.0,7.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,304066,"Henderson, J. L.","Santmyers, George T.", ,cinder block & brick,dwelling,10000.0,783,,,cinder block & brick,,pitch,,slate,air conditioning,209.1875,61.6849951053764
1590,5836 MACARTHUR BOULEVARD NW,,1455,847,6/10/2015 12:00:00 AM,2015,"NEW TWO STORY, CELLAR AND ATTIC SINGLE FAMILY HOME.",,,,,,,,,,,,,,,,,,,,BKRAFT,9/28/2016 6:22:55 PM,,DCGIS Building Permits,B1502699,ERIK  KLEINER,, ,,dwelling,,,,,,,,,,,424.41015625,83.5835899353597
1607,2730 CHAIN BRIDGE ROAD NW,,1409,865,10/3/1940 12:00:00 AM,1940,,,,,116504.0,Detached,1.0,1.0,building,0.0,,"Fitzsimmons, J. P.","Stevens, Richard K.",1.0,8.0,44.0,45.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,237244,"Stevens, Richard K.","Fitzsimmons, J. P.","Jennings, Randolph L.",cinder block & brick&s,dwelling,16000.0,636,,,cinder block & brick,,pitch,,slate,hot water,413.5234375,109.899803051779
1662,3110 CATHEDRAL AVENUE NW,,2117,27,9/22/1922 12:00:00 AM,1922,,,,,16710.0,Detached,1.0,1.0,building,0.0,,"Santmyers, George T.",Middaugh & Shannon,6.0,0.0,33.0,23.0,1.0,0.0,2.0,BKRAFT,4/1/2016 4:31:08 PM,0.0,DC Historical Building Permits Database,3005,Middaugh & Shannon Inc.,"Santmyers, George T.",Middaugh & Shannon Inc.,brick,dwelling,84000.0,229,,solid,concrete,,pitch,brick,slate,hot water,227.734375,70.6538298336001
1663,3106 CATHEDRAL AVENUE NW,,2117,29,9/22/1922 12:00:00 AM,1922,,,,,16708.0,Detached,1.0,1.0,building,0.0,,"Santmyers, George T.",Middaugh & Shannon,6.0,0.0,33.0,23.0,1.0,0.0,2.0,BKRAFT,4/1/2016 4:31:08 PM,0.0,DC Historical Building Permits Database,3005,Middaugh & Shannon Inc.,"Santmyers, George T.",Middaugh & Shannon Inc.,brick,dwelling,84000.0,229,,solid,concrete,,pitch,brick,slate,hot water,263.171875,74.2523884308249
1664,3108 CATHEDRAL AVENUE NW,,2117,28,9/22/1922 12:00:00 AM,1922,,,,,16709.0,Detached,1.0,1.0,building,0.0,,"Santmyers, George T.",Middaugh & Shannon,6.0,0.0,33.0,23.0,1.0,0.0,2.0,BKRAFT,4/1/2016 4:31:08 PM,0.0,DC Historical Building Permits Database,3005,Middaugh & Shannon Inc.,"Santmyers, George T.",Middaugh & Shannon Inc.,brick,dwelling,84000.0,229,,solid,concrete,,pitch,brick,slate,hot water,284.01953125,76.2097626799898
1739,5849 NEBRASKA AVENUE NW,,2316,24,11/26/1941 12:00:00 AM,1941,,,,,120418.0,Detached,1.0,1.0,building,0.0,,"White, Geo. S.",Waggaman-Brawner Realty Corp.,4.0,6.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,249439,Waggaman-Brawner Realty Corp.,"White, Geo. S.",Waggaman-Brawner Realty Corp.,cinder block & brick,dwelling,10000.0,677A,,,cinder block,,pitch,,slate,hot water,158.078125,51.8341539989629
1740,5857 NEBRASKA AVENUE NW,,2316,26,11/26/1941 12:00:00 AM,1941,,,,,120420.0,Detached,1.0,1.0,building,0.0,,"White, Geo. S.",Waggaman-Brawner Realty Corp.,4.0,6.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,249439,Waggaman-Brawner Realty Corp.,"White, Geo. S.",Waggaman-Brawner Realty Corp.,cinder block & brick,dwelling,10000.0,677A,,,cinder block,,pitch,,slate,hot water,160.046875,55.7397616109839
1741,5853 NEBRASKA AVENUE NW,,2316,25,11/26/1941 12:00:00 AM,1941,,,,,120419.0,Detached,1.0,1.0,building,0.0,,"White, Geo. S.",Waggaman-Brawner Realty Corp.,4.0,6.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,249439,Waggaman-Brawner Realty Corp.,"White, Geo. S.",Waggaman-Brawner Realty Corp.,cinder block & brick,dwelling,10000.0,677A,,,cinder block,,pitch,,slate,hot water,137.484375,53.0585722082514
1742,5845 NEBRASKA AVENUE NW,,2316,23,11/26/1941 12:00:00 AM,1941,,,,,120417.0,Detached,1.0,1.0,building,0.0,,"White, Geo. S.",Waggaman-Brawner Realty Corp.,4.0,6.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,249439,Waggaman-Brawner Realty Corp.,"White, Geo. S.",Waggaman-Brawner Realty Corp.,cinder block & brick,dwelling,10000.0,677A,,,cinder block,,pitch,,slate,hot water,155.80859375,55.3562110451441
1799,5881 NEBRASKA AVENUE NW,,2316,34,3/5/1947 12:00:00 AM,1947,,,,,126893.0,Detached,1.0,1.0,building,0.0,,"Pryor, Theodore L.","Di Valentin, Antonio",1.0,7.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,292721,"Di Valentin, Antonio","Pryor, Theodore L.","Di Valentin, Antonio",masonry,dwelling,9000.0,764,,,cinder block,,pitch,,slate,hot water,334.4296875,82.2326599493138
1800,5809 MACARTHUR BOULEVARD NW,,1448,824,9/9/1940 12:00:00 AM,1940,,,,,115970.0,Detached,1.0,1.0,building,0.0,,"Johannes, Dana B., Jr.","Davis, H. E.",1.0,6.0,34.0,26.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,236340,"Davis, H. E.","Johannes, Dana B., Jr.","Davis, H. E.",cinder block & brick,dwelling,6500.0,634,,,cinder block & brick,,pitch,,slate,air conditioning,141.3984375,52.8944180860542
1913,5116 PALISADE LANE NW,,1446,9,9/12/1940 12:00:00 AM,1940,,,,,116005.0,Detached,1.0,1.0,building,0.0,,"Southwell, Arnold",Barnaby Woods Development Co.,1.0,7.0,69.0,34.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,236495,Barnaby Woods Development Co.,"Southwell, Arnold",Barnaby Woods Development Co.,cinder block & brick,dwelling,15500.0,635,,,block,,pitch,,slate,hot air,247.4140625,70.1389788683644
1949,5193 WATSON STREET NW,,1448,36,3/17/1941 12:00:00 AM,1941,,,,,,,,,,,,"Abel, J.H./Dillon & Abel/Berla & Abel","Owens, Edna",1.0,8.0,61.0,25.0,1.0,0.0,2.0,BKRAFT,10/22/2015 6:50:31 PM,0.0,DC Historical Building Permits Database,241504,"Owens, Edna","Abel, Joseph H.",not selected,brick & stone,dwelling,11000.0,643,,,brick & tile,,pitch,,slate,hot water,286.421875,77.3330042840409
2094,4300 HAWTHORNE STREET NW,,1620,81,8/11/1931 12:00:00 AM,1931,,,,,66287.0,Detached,1.0,1.0,building,0.0,,"MacNeil, G. E.","Miller, W. C. & A. N.",1.0,6.0,33.0,29.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,145641,"Miller, W. C. & A. N.","MacNeil, G. E.","Miller, W. C. & A. N.",brick & frame,dwelling,8000.0,454,,,brick,,pitch,,shingles,hot water,235.94140625,73.128357102871
2172,4921 SHERIER PLACE NW,,1412,66,4/14/1952 12:00:00 AM,1952,,,,,144022.0,Detached,1.0,1.0,building,0.0,,,"Helsley, O. L.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,BKRAFT,2/29/2016 3:02:23 PM,0.0,DC Historical Building Permits Index,A-29889,"Helsley, O. L.",, ,,dwelling,0.0,,,,,,,,,,314.40234375,75.524963944396
2180,5515 HAWTHORNE PLACE NW,,1437,44,6/20/1936 12:00:00 AM,1936,,,,,73439.0,Detached,1.0,1.0,building,0.0,,"White, Clifton B.","Zimmerman, C. M.",1.0,,27.0,22.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,192541,"Zimmerman, C. M.","White, Clifton B.","Mitchell, J. M.",brick,dwelling,6000.0,558,,,tile,,pitch,,comp,hot water,201.64453125,59.7187816100621
2234,3410 LOWELL STREET NW,,2090,2,12/14/1920 12:00:00 AM,1920,,,,,20930.0,Detached,1.0,1.0,building,0.0,Yes,"Miller, W. C. & A. N.","Miller, W. C. & A. N.",1.0,0.0,24.0,42.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,3583,"Miller, W. C. & A. N.","Miller, W. C. & A. N.","Miller, W. C. & A. N.",frame,dwelling,8500.0,196,,solid,concrete & brick,,mansard,siding,shingles,hot water,204.33984375,63.741465603433
2273,5053 GLENBROOK TERRACE NW,,1432,36,5/5/1941 12:00:00 AM,1941,,,,,118438.0,Detached,1.0,1.0,building,0.0,,"Cappelman, Eimer",Carr (O. T. & W. A.) Inc.,1.0,8.0,41.0,47.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,243203,Carr (O. T. & W. A.) Inc.,"Cappelman, Eimer",Carr (O. T. & W. A.) Inc.,cinder block & brick,dwelling,10000.0,646,,,cinder block,,pitch,,slate,hot air,262.08984375,67.4290232777449
2447,5716 MACARTHUR BOULEVARD NW,,1453,864,7/17/1953 12:00:00 AM,1953,,,,,141677.0,Detached,1.0,1.0,building,0.0,,,"Inscoe, L.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,BKRAFT,2/29/2016 3:02:16 PM,0.0,DC Historical Building Permits Index,A-45605,"Inscoe, L.",, ,,dwelling,0.0,,,,,,,,,,141.34375,47.7975937723988
2459,3701 MACOMB STREET NW,,1920,43,7/16/1953 12:00:00 AM,1953,,,,,145290.0,,1.0,1.0,building,0.0,,,"Kass, Rose",5.0,0.0,0.0,0.0,0.0,1.0,0.0,BKRAFT,2/29/2016 3:02:31 PM,0.0,DC Historical Building Permits Index,A-45563,"Kass, Rose",, ,,store,0.0,,,,,,,,,,524.7734375,94.7562940845844
2572,4881 POTOMAC AVENUE NW,,1388,9,10/30/1936 12:00:00 AM,1936,,,,,74471.0,Detached,1.0,1.0,building,0.0,,"West, Claughton","Goodrick, Benjamin S.",1.0,5.0,25.0,30.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,196910,"Goodrick, Benjamin S.","West, Claughton", ,masonry & frame,dwelling,4500.0,566,,,cinder block,,pitch,,comp shingles,hot water,246.91015625,67.1983562923516
2584,3115 CHAIN BRIDGE ROAD NW,,1427,867,4/2/1934 12:00:00 AM,1934,,,,,68992.0,Detached,1.0,1.0,building,0.0,,"Taylor, Lois B. / et al","Richardson, Seth W.",1.0,9.0,79.0,24.0,0.0,0.0,2.0,BKRAFT,4/23/2016 6:52:36 PM,0.0,DC Historical Building Permits Database,170087,"Richardson, Seth W.","Taylor, Edwin L. & Lois B.","Taylor, Edwin L.",tile,dwelling,16000.0,512,,,tile,,pitch,,shingle tile,oil burner,333.72265625,100.712077722478
2824,5323 MACOMB STREET NW,,1451,40,10/5/1926 12:00:00 AM,1926,,,,,12221.0,Detached,1.0,1.0,building,0.0,,Lewis Mfg. Co.,"Manning, Marie L.",1.0,5.0,22.0,34.0,1.0,0.0,1.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,3346,"Manning, Marie L.",Lewis Mfg. Co.,Valand (D. C.) Co.,frame,dwelling,5500.0,341,,solid,concrete,,pitch,frame,S. S. S. (semi-slate),hot water,267.078125,79.1462812869683
2862,4411 GARFIELD STREET NW,,1614,58,5/27/1927 12:00:00 AM,1927,,,,,29271.0,Detached,1.0,1.0,building,0.0,,"MacNeil, G. E.","Miller, W. C. & A. N.",1.0,5.0,31.0,25.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,9783,"Miller, W. C. & A. N.","MacNeil, G. E.","Miller, W. C. & A. N.",brick & frame,dwelling,9000.0,356,,solid,concrete,,pitch,,slate,hot water,257.96484375,70.4207317024342
2952,3613 NORTON PLACE NW,,1913,7,2/7/1908 12:00:00 AM,1908,,,,,49589.0,Detached,1.0,1.0,building,0.0,Yes,"Pyle, F. B.","Weaver, David F.",1.0,0.0,26.0,32.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,2329,"Weaver, David F.","Pyle, F. B.","Hammond, I. B.",frame,dwelling,4750.0,452,,solid,brick,,pitch,frame,slate,furnace,203.86328125,64.6365679281834
